Epoch [1/50], Loss: 0.5535, Accuracy: 0.7911, Precision: 0.8832, Recall: 0.6710, Specificity: 0.9112, F1-Score: 0.7626
Epoch [2/50], Loss: 0.4473, Accuracy: 0.8564, Precision: 0.9596, Recall: 0.7441, Specificity: 0.9687, F1-Score: 0.8382
Epoch [3/50], Loss: 0.3618, Accuracy: 0.9125, Precision: 0.9647, Recall: 0.8564, Specificity: 0.9687, F1-Score: 0.9073
Epoch [4/50], Loss: 0.2827, Accuracy: 0.9321, Precision: 0.9688, Recall: 0.8930, Specificity: 0.9713, F1-Score: 0.9293
Epoch [5/50], Loss: 0.2195, Accuracy: 0.9334, Precision: 0.9770, Recall: 0.8877, Specificity: 0.9791, F1-Score: 0.9302
Epoch [6/50], Loss: 0.1802, Accuracy: 0.9543, Precision: 0.9780, Recall: 0.9295, Specificity: 0.9791, F1-Score: 0.9531
Epoch [7/50], Loss: 0.1642, Accuracy: 0.9556, Precision: 0.9781, Recall: 0.9321, Specificity: 0.9791, F1-Score: 0.9545
Epoch [8/50], Loss: 0.1337, Accuracy: 0.9595, Precision: 0.9809, Recall: 0.9373, Specificity: 0.9817, F1-Score: 0.9586
Epoch [9/50], Loss: 0.1241, Accuracy: 0.9621, Precision: 0.9733, Recall: 0.9504, Specificity: 0.9739, F1-Score: 0.9617
Epoch [10/50], Loss: 0.1056, Accuracy: 0.9634, Precision: 0.9759, Recall: 0.9504, Specificity: 0.9765, F1-Score: 0.9630
Epoch [11/50], Loss: 0.0954, Accuracy: 0.9687, Precision: 0.9736, Recall: 0.9634, Specificity: 0.9739, F1-Score: 0.9685
Epoch [12/50], Loss: 0.0915, Accuracy: 0.9700, Precision: 0.9762, Recall: 0.9634, Specificity: 0.9765, F1-Score: 0.9698
Epoch [13/50], Loss: 0.0907, Accuracy: 0.9674, Precision: 0.9566, Recall: 0.9791, Specificity: 0.9556, F1-Score: 0.9677
Epoch [14/50], Loss: 0.0850, Accuracy: 0.9700, Precision: 0.9615, Recall: 0.9791, Specificity: 0.9608, F1-Score: 0.9702
Epoch [15/50], Loss: 0.0478, Accuracy: 0.9595, Precision: 0.9809, Recall: 0.9373, Specificity: 0.9817, F1-Score: 0.9586
Epoch [16/50], Loss: 0.1047, Accuracy: 0.8825, Precision: 0.9900, Recall: 0.7728, Specificity: 0.9922, F1-Score: 0.8680
Epoch [17/50], Loss: 0.0719, Accuracy: 0.9674, Precision: 0.9543, Recall: 0.9817, Specificity: 0.9530, F1-Score: 0.9678
Epoch [18/50], Loss: 0.0419, Accuracy: 0.9426, Precision: 0.9829, Recall: 0.9008, Specificity: 0.9843, F1-Score: 0.9401
Epoch [19/50], Loss: 0.0362, Accuracy: 0.9674, Precision: 0.9761, Recall: 0.9582, Specificity: 0.9765, F1-Score: 0.9671
Epoch [20/50], Loss: 0.0728, Accuracy: 0.9726, Precision: 0.9738, Recall: 0.9713, Specificity: 0.9739, F1-Score: 0.9725
Epoch [21/50], Loss: 0.0346, Accuracy: 0.9752, Precision: 0.9715, Recall: 0.9791, Specificity: 0.9713, F1-Score: 0.9753
Epoch [22/50], Loss: 0.0332, Accuracy: 0.9765, Precision: 0.9740, Recall: 0.9791, Specificity: 0.9739, F1-Score: 0.9766
Epoch [23/50], Loss: 0.0304, Accuracy: 0.9726, Precision: 0.9689, Recall: 0.9765, Specificity: 0.9687, F1-Score: 0.9727
Epoch [24/50], Loss: 0.0770, Accuracy: 0.9687, Precision: 0.9567, Recall: 0.9817, Specificity: 0.9556, F1-Score: 0.9691
Epoch [25/50], Loss: 0.0308, Accuracy: 0.9726, Precision: 0.9714, Recall: 0.9739, Specificity: 0.9713, F1-Score: 0.9726
Epoch [26/50], Loss: 0.0222, Accuracy: 0.9674, Precision: 0.9761, Recall: 0.9582, Specificity: 0.9765, F1-Score: 0.9671
Epoch [27/50], Loss: 0.0342, Accuracy: 0.9726, Precision: 0.9665, Recall: 0.9791, Specificity: 0.9661, F1-Score: 0.9728
Epoch [28/50], Loss: 0.0192, Accuracy: 0.9648, Precision: 0.9811, Recall: 0.9478, Specificity: 0.9817, F1-Score: 0.9641
Epoch [29/50], Loss: 0.0185, Accuracy: 0.9413, Precision: 0.9856, Recall: 0.8956, Specificity: 0.9869, F1-Score: 0.9384
