12:59:33 : Path identified is D:/MscProject/Repo/Outputs/Exp_1_1_OG_BGS_findcontours/Balanced and D:/MscProject/Repo/Outputs/Exp_1_1_OG_BGS_findcontours/Unbalanced 
12:59:33 : Starting the processing of Exp_1_1_OG_BGS_FCon_Train_b32e50L1e-05 
13:00:02 : Running on GPU 
13:00:02 : Model is Exp_1_1_OG_BGS_FCon_Train_b32e50L1e-05 
13:00:18 : Epoch [1/50], Loss: 0.4334, Accuracy: 0.8935, Precision: 0.8484, Recall: 0.9582, Specificity: 0.8288, F1-Score: 0.9000 
13:00:30 : Epoch [2/50], Loss: 0.3536, Accuracy: 0.8998, Precision: 0.8620, Recall: 0.9520, Specificity: 0.8476, F1-Score: 0.9048 
13:00:41 : Epoch [3/50], Loss: 0.3257, Accuracy: 0.9071, Precision: 0.8665, Recall: 0.9624, Specificity: 0.8518, F1-Score: 0.9120 
13:00:53 : Epoch [4/50], Loss: 0.3228, Accuracy: 0.9123, Precision: 0.8762, Recall: 0.9603, Specificity: 0.8643, F1-Score: 0.9163 
13:01:04 : Epoch [5/50], Loss: 0.3068, Accuracy: 0.9186, Precision: 0.8893, Recall: 0.9562, Specificity: 0.8810, F1-Score: 0.9215 
13:01:16 : Epoch [6/50], Loss: 0.3213, Accuracy: 0.9165, Precision: 0.8904, Recall: 0.9499, Specificity: 0.8831, F1-Score: 0.9192 
13:01:28 : Epoch [7/50], Loss: 0.2924, Accuracy: 0.9207, Precision: 0.9138, Recall: 0.9290, Specificity: 0.9123, F1-Score: 0.9213 
13:01:40 : Epoch [8/50], Loss: 0.2496, Accuracy: 0.9269, Precision: 0.9066, Recall: 0.9520, Specificity: 0.9019, F1-Score: 0.9287 
13:01:52 : Epoch [9/50], Loss: 0.2851, Accuracy: 0.9311, Precision: 0.9138, Recall: 0.9520, Specificity: 0.9102, F1-Score: 0.9325 
13:02:04 : Epoch [10/50], Loss: 0.2263, Accuracy: 0.9290, Precision: 0.9069, Recall: 0.9562, Specificity: 0.9019, F1-Score: 0.9309 
13:02:15 : Epoch [11/50], Loss: 0.2355, Accuracy: 0.9342, Precision: 0.9245, Recall: 0.9457, Specificity: 0.9228, F1-Score: 0.9350 
13:02:27 : Epoch [12/50], Loss: 0.2204, Accuracy: 0.9311, Precision: 0.9089, Recall: 0.9582, Specificity: 0.9040, F1-Score: 0.9329 
