14:23:40 : Path identified is D:/MscProject/Repo/Outputs/Exp_1_1_OG_BGS_findcontours/Balanced and D:/MscProject/Repo/Outputs/Exp_1_1_OG_BGS_findcontours/Unbalanced 
14:23:40 : Starting the processing of Exp_1_1_OG_BGS_FCon_Train_GeLU_b32e50L0.0001 
14:24:10 : Running on GPU 
14:24:10 : Model is Exp_1_1_OG_BGS_FCon_Train_GeLU_b32e50L0.0001 
14:24:26 : Epoch [1/50], Loss: 0.3622, Accuracy: 0.8935, Precision: 0.8762, Recall: 0.9165, Specificity: 0.8706, F1-Score: 0.8959 
14:24:37 : Epoch [2/50], Loss: 0.2657, Accuracy: 0.9123, Precision: 0.9055, Recall: 0.9207, Specificity: 0.9040, F1-Score: 0.9130 
14:24:49 : Epoch [3/50], Loss: 0.0729, Accuracy: 0.9290, Precision: 0.9419, Recall: 0.9144, Specificity: 0.9436, F1-Score: 0.9280 
14:25:01 : Epoch [4/50], Loss: 0.0435, Accuracy: 0.9322, Precision: 0.9242, Recall: 0.9415, Specificity: 0.9228, F1-Score: 0.9328 
14:25:13 : Epoch [5/50], Loss: 0.0574, Accuracy: 0.9363, Precision: 0.9019, Recall: 0.9791, Specificity: 0.8935, F1-Score: 0.9389 
14:25:25 : Epoch [6/50], Loss: 0.0539, Accuracy: 0.9374, Precision: 0.9411, Recall: 0.9332, Specificity: 0.9415, F1-Score: 0.9371 
14:25:37 : Epoch [7/50], Loss: 0.0224, Accuracy: 0.9342, Precision: 0.9370, Recall: 0.9311, Specificity: 0.9374, F1-Score: 0.9340 
14:25:48 : Epoch [8/50], Loss: 0.0112, Accuracy: 0.9395, Precision: 0.9218, Recall: 0.9603, Specificity: 0.9186, F1-Score: 0.9407 
14:26:00 : Epoch [9/50], Loss: 0.0261, Accuracy: 0.9457, Precision: 0.9313, Recall: 0.9624, Specificity: 0.9290, F1-Score: 0.9466 
14:26:12 : Epoch [10/50], Loss: 0.0640, Accuracy: 0.9311, Precision: 0.9422, Recall: 0.9186, Specificity: 0.9436, F1-Score: 0.9302 
14:26:24 : Epoch [11/50], Loss: 0.0155, Accuracy: 0.9384, Precision: 0.9375, Recall: 0.9395, Specificity: 0.9374, F1-Score: 0.9385 
