13:43:49 : Path identified is D:/MscProject/Repo/Outputs/Exp_1_1_OG_BGS_findcontours/Balanced and D:/MscProject/Repo/Outputs/Exp_1_1_OG_BGS_findcontours/Unbalanced 
13:43:49 : Starting the processing of Exp_1_1_OG_BGS_FCon_Train_b32e100L0.0001 
13:44:18 : Running on GPU 
13:44:18 : Model is Exp_1_1_OG_BGS_FCon_Train_b32e100L0.0001 
13:44:33 : Epoch [1/100], Loss: 0.3557, Accuracy: 0.8987, Precision: 0.8411, Recall: 0.9833, Specificity: 0.8142, F1-Score: 0.9066 
13:44:45 : Epoch [2/100], Loss: 0.2188, Accuracy: 0.9217, Precision: 0.9024, Recall: 0.9457, Specificity: 0.8977, F1-Score: 0.9235 
13:44:57 : Epoch [3/100], Loss: 0.1190, Accuracy: 0.9342, Precision: 0.9143, Recall: 0.9582, Specificity: 0.9102, F1-Score: 0.9358 
13:45:09 : Epoch [4/100], Loss: 0.0672, Accuracy: 0.9342, Precision: 0.9262, Recall: 0.9436, Specificity: 0.9248, F1-Score: 0.9349 
13:45:20 : Epoch [5/100], Loss: 0.0278, Accuracy: 0.9405, Precision: 0.9137, Recall: 0.9729, Specificity: 0.9081, F1-Score: 0.9424 
13:45:32 : Epoch [6/100], Loss: 0.0553, Accuracy: 0.9301, Precision: 0.9221, Recall: 0.9395, Specificity: 0.9207, F1-Score: 0.9307 
13:45:43 : Epoch [7/100], Loss: 0.0574, Accuracy: 0.9374, Precision: 0.9284, Recall: 0.9478, Specificity: 0.9269, F1-Score: 0.9380 
13:45:55 : Epoch [8/100], Loss: 0.0524, Accuracy: 0.9332, Precision: 0.9209, Recall: 0.9478, Specificity: 0.9186, F1-Score: 0.9342 
13:46:08 : Epoch [9/100], Loss: 0.0462, Accuracy: 0.9301, Precision: 0.9459, Recall: 0.9123, Specificity: 0.9478, F1-Score: 0.9288 
13:46:19 : Epoch [10/100], Loss: 0.1286, Accuracy: 0.9374, Precision: 0.9198, Recall: 0.9582, Specificity: 0.9165, F1-Score: 0.9387 
13:46:31 : Epoch [11/100], Loss: 0.1406, Accuracy: 0.9363, Precision: 0.9231, Recall: 0.9520, Specificity: 0.9207, F1-Score: 0.9373 
13:46:43 : Epoch [12/100], Loss: 0.0929, Accuracy: 0.9405, Precision: 0.9187, Recall: 0.9666, Specificity: 0.9144, F1-Score: 0.9420 
13:46:54 : Epoch [13/100], Loss: 0.0800, Accuracy: 0.9374, Precision: 0.9215, Recall: 0.9562, Specificity: 0.9186, F1-Score: 0.9385 
13:47:06 : Epoch [14/100], Loss: 0.0889, Accuracy: 0.9415, Precision: 0.9205, Recall: 0.9666, Specificity: 0.9165, F1-Score: 0.9430 
13:47:18 : Epoch [15/100], Loss: 0.0649, Accuracy: 0.9415, Precision: 0.9238, Recall: 0.9624, Specificity: 0.9207, F1-Score: 0.9427 
13:47:30 : Epoch [16/100], Loss: 0.0549, Accuracy: 0.9415, Precision: 0.9238, Recall: 0.9624, Specificity: 0.9207, F1-Score: 0.9427 
13:47:42 : Epoch [17/100], Loss: 0.0936, Accuracy: 0.9415, Precision: 0.9172, Recall: 0.9708, Specificity: 0.9123, F1-Score: 0.9432 
13:47:53 : Epoch [18/100], Loss: 0.0328, Accuracy: 0.9395, Precision: 0.9235, Recall: 0.9582, Specificity: 0.9207, F1-Score: 0.9406 
13:48:05 : Epoch [19/100], Loss: 0.1067, Accuracy: 0.9405, Precision: 0.9170, Recall: 0.9687, Specificity: 0.9123, F1-Score: 0.9421 
13:48:17 : Epoch [20/100], Loss: 0.0520, Accuracy: 0.9395, Precision: 0.9218, Recall: 0.9603, Specificity: 0.9186, F1-Score: 0.9407 
13:48:29 : Epoch [21/100], Loss: 0.1097, Accuracy: 0.9426, Precision: 0.9190, Recall: 0.9708, Specificity: 0.9144, F1-Score: 0.9442 
13:48:41 : Epoch [22/100], Loss: 0.0724, Accuracy: 0.9395, Precision: 0.9218, Recall: 0.9603, Specificity: 0.9186, F1-Score: 0.9407 
13:48:53 : Epoch [23/100], Loss: 0.0500, Accuracy: 0.9384, Precision: 0.9234, Recall: 0.9562, Specificity: 0.9207, F1-Score: 0.9395 
13:49:04 : Epoch [24/100], Loss: 0.0414, Accuracy: 0.9405, Precision: 0.9254, Recall: 0.9582, Specificity: 0.9228, F1-Score: 0.9415 
13:49:16 : Epoch [25/100], Loss: 0.1032, Accuracy: 0.9426, Precision: 0.9190, Recall: 0.9708, Specificity: 0.9144, F1-Score: 0.9442 
13:49:28 : Epoch [26/100], Loss: 0.0444, Accuracy: 0.9395, Precision: 0.9253, Recall: 0.9562, Specificity: 0.9228, F1-Score: 0.9405 
13:49:40 : Epoch [27/100], Loss: 0.1024, Accuracy: 0.9405, Precision: 0.9187, Recall: 0.9666, Specificity: 0.9144, F1-Score: 0.9420 
13:49:52 : Epoch [28/100], Loss: 0.0429, Accuracy: 0.9384, Precision: 0.9234, Recall: 0.9562, Specificity: 0.9207, F1-Score: 0.9395 
13:50:04 : Epoch [29/100], Loss: 0.0604, Accuracy: 0.9384, Precision: 0.9217, Recall: 0.9582, Specificity: 0.9186, F1-Score: 0.9396 
13:50:15 : Epoch [30/100], Loss: 0.0426, Accuracy: 0.9374, Precision: 0.9232, Recall: 0.9541, Specificity: 0.9207, F1-Score: 0.9384 
13:50:27 : Epoch [31/100], Loss: 0.0956, Accuracy: 0.9415, Precision: 0.9222, Recall: 0.9645, Specificity: 0.9186, F1-Score: 0.9429 
13:50:40 : Epoch [32/100], Loss: 0.0767, Accuracy: 0.9415, Precision: 0.9222, Recall: 0.9645, Specificity: 0.9186, F1-Score: 0.9429 
13:50:51 : Epoch [33/100], Loss: 0.0362, Accuracy: 0.9395, Precision: 0.9270, Recall: 0.9541, Specificity: 0.9248, F1-Score: 0.9403 
