12:22:40 : Path identified is D:/MscProject/Repo/Outputs/Exp_1_1_OG_BGS_findcontours/Balanced and D:/MscProject/Repo/Outputs/Exp_1_1_OG_BGS_findcontours/Unbalanced 
12:22:40 : Starting the processing of Exp_1_1_OG_BGS_FCon_Train_b32e50L0.0001 
12:23:09 : Running on GPU 
12:23:09 : Model is Exp_1_1_OG_BGS_FCon_Train_b32e50L0.0001 
12:23:24 : Epoch [1/50], Loss: 0.3939, Accuracy: 0.8831, Precision: 0.9051, Recall: 0.8559, Specificity: 0.9102, F1-Score: 0.8798 
12:23:36 : Epoch [2/50], Loss: 0.2484, Accuracy: 0.9186, Precision: 0.9067, Recall: 0.9332, Specificity: 0.9040, F1-Score: 0.9198 
12:23:48 : Epoch [3/50], Loss: 0.2806, Accuracy: 0.9248, Precision: 0.9414, Recall: 0.9061, Specificity: 0.9436, F1-Score: 0.9234 
12:24:00 : Epoch [4/50], Loss: 0.1293, Accuracy: 0.9363, Precision: 0.9336, Recall: 0.9395, Specificity: 0.9332, F1-Score: 0.9365 
12:24:11 : Epoch [5/50], Loss: 0.1375, Accuracy: 0.9301, Precision: 0.9204, Recall: 0.9415, Specificity: 0.9186, F1-Score: 0.9309 
12:24:23 : Epoch [6/50], Loss: 0.0559, Accuracy: 0.9353, Precision: 0.9212, Recall: 0.9520, Specificity: 0.9186, F1-Score: 0.9363 
12:24:35 : Epoch [7/50], Loss: 0.0149, Accuracy: 0.9447, Precision: 0.9277, Recall: 0.9645, Specificity: 0.9248, F1-Score: 0.9458 
12:24:47 : Epoch [8/50], Loss: 0.0610, Accuracy: 0.9395, Precision: 0.9072, Recall: 0.9791, Specificity: 0.8998, F1-Score: 0.9418 
12:24:59 : Epoch [9/50], Loss: 0.1094, Accuracy: 0.9457, Precision: 0.9476, Recall: 0.9436, Specificity: 0.9478, F1-Score: 0.9456 
12:25:10 : Epoch [10/50], Loss: 0.0115, Accuracy: 0.9426, Precision: 0.9327, Recall: 0.9541, Specificity: 0.9311, F1-Score: 0.9432 
12:25:22 : Epoch [11/50], Loss: 0.0074, Accuracy: 0.9468, Precision: 0.9280, Recall: 0.9687, Specificity: 0.9248, F1-Score: 0.9479 
12:25:34 : Epoch [12/50], Loss: 0.0160, Accuracy: 0.9436, Precision: 0.9293, Recall: 0.9603, Specificity: 0.9269, F1-Score: 0.9446 
12:25:46 : Epoch [13/50], Loss: 0.0096, Accuracy: 0.9405, Precision: 0.9324, Recall: 0.9499, Specificity: 0.9311, F1-Score: 0.9411 
12:25:59 : Epoch [14/50], Loss: 0.0069, Accuracy: 0.9426, Precision: 0.9274, Recall: 0.9603, Specificity: 0.9248, F1-Score: 0.9436 
12:26:11 : Epoch [15/50], Loss: 0.0066, Accuracy: 0.9405, Precision: 0.9289, Recall: 0.9541, Specificity: 0.9269, F1-Score: 0.9413 
12:26:23 : Epoch [16/50], Loss: 0.0063, Accuracy: 0.9415, Precision: 0.9256, Recall: 0.9603, Specificity: 0.9228, F1-Score: 0.9426 
12:26:35 : Epoch [17/50], Loss: 0.0046, Accuracy: 0.9405, Precision: 0.9289, Recall: 0.9541, Specificity: 0.9269, F1-Score: 0.9413 
12:26:47 : Epoch [18/50], Loss: 0.0082, Accuracy: 0.9436, Precision: 0.9259, Recall: 0.9645, Specificity: 0.9228, F1-Score: 0.9448 
12:26:59 : Epoch [19/50], Loss: 0.0043, Accuracy: 0.9405, Precision: 0.9254, Recall: 0.9582, Specificity: 0.9228, F1-Score: 0.9415 
12:27:11 : Epoch [20/50], Loss: 0.0034, Accuracy: 0.9395, Precision: 0.9287, Recall: 0.9520, Specificity: 0.9269, F1-Score: 0.9402 
12:27:23 : Epoch [21/50], Loss: 0.0032, Accuracy: 0.9405, Precision: 0.9271, Recall: 0.9562, Specificity: 0.9248, F1-Score: 0.9414 
12:27:35 : Epoch [22/50], Loss: 0.0051, Accuracy: 0.9426, Precision: 0.9257, Recall: 0.9624, Specificity: 0.9228, F1-Score: 0.9437 
12:27:46 : Epoch [23/50], Loss: 0.0036, Accuracy: 0.9395, Precision: 0.9253, Recall: 0.9562, Specificity: 0.9228, F1-Score: 0.9405 
12:27:58 : Epoch [24/50], Loss: 0.0023, Accuracy: 0.9415, Precision: 0.9290, Recall: 0.9562, Specificity: 0.9269, F1-Score: 0.9424 
12:28:10 : Epoch [25/50], Loss: 0.0039, Accuracy: 0.9426, Precision: 0.9257, Recall: 0.9624, Specificity: 0.9228, F1-Score: 0.9437 
12:28:22 : Epoch [26/50], Loss: 0.0028, Accuracy: 0.9384, Precision: 0.9251, Recall: 0.9541, Specificity: 0.9228, F1-Score: 0.9394 
12:28:34 : Epoch [27/50], Loss: 0.0030, Accuracy: 0.9426, Precision: 0.9257, Recall: 0.9624, Specificity: 0.9228, F1-Score: 0.9437 
12:28:45 : Epoch [28/50], Loss: 0.0021, Accuracy: 0.9395, Precision: 0.9270, Recall: 0.9541, Specificity: 0.9248, F1-Score: 0.9403 
12:28:57 : Epoch [29/50], Loss: 0.0029, Accuracy: 0.9426, Precision: 0.9257, Recall: 0.9624, Specificity: 0.9228, F1-Score: 0.9437 
12:29:09 : Epoch [30/50], Loss: 0.0023, Accuracy: 0.9415, Precision: 0.9308, Recall: 0.9541, Specificity: 0.9290, F1-Score: 0.9423 
12:29:21 : Epoch [31/50], Loss: 0.0013, Accuracy: 0.9405, Precision: 0.9237, Recall: 0.9603, Specificity: 0.9207, F1-Score: 0.9417 
12:29:33 : Epoch [32/50], Loss: 0.0028, Accuracy: 0.9415, Precision: 0.9290, Recall: 0.9562, Specificity: 0.9269, F1-Score: 0.9424 
12:29:45 : Epoch [33/50], Loss: 0.0033, Accuracy: 0.9426, Precision: 0.9309, Recall: 0.9562, Specificity: 0.9290, F1-Score: 0.9434 
12:29:56 : Epoch [34/50], Loss: 0.0025, Accuracy: 0.9426, Precision: 0.9309, Recall: 0.9562, Specificity: 0.9290, F1-Score: 0.9434 
12:30:08 : Epoch [35/50], Loss: 0.0028, Accuracy: 0.9415, Precision: 0.9290, Recall: 0.9562, Specificity: 0.9269, F1-Score: 0.9424 
12:30:20 : Epoch [36/50], Loss: 0.0037, Accuracy: 0.9426, Precision: 0.9309, Recall: 0.9562, Specificity: 0.9290, F1-Score: 0.9434 
12:30:32 : Epoch [37/50], Loss: 0.0045, Accuracy: 0.9415, Precision: 0.9308, Recall: 0.9541, Specificity: 0.9290, F1-Score: 0.9423 
12:30:44 : Epoch [38/50], Loss: 0.0031, Accuracy: 0.9405, Precision: 0.9254, Recall: 0.9582, Specificity: 0.9228, F1-Score: 0.9415 
12:30:55 : Epoch [39/50], Loss: 0.0026, Accuracy: 0.9405, Precision: 0.9220, Recall: 0.9624, Specificity: 0.9186, F1-Score: 0.9418 
12:31:07 : Epoch [40/50], Loss: 0.0055, Accuracy: 0.9405, Precision: 0.9271, Recall: 0.9562, Specificity: 0.9248, F1-Score: 0.9414 
12:31:19 : Epoch [41/50], Loss: 0.0033, Accuracy: 0.9426, Precision: 0.9257, Recall: 0.9624, Specificity: 0.9228, F1-Score: 0.9437 
12:31:31 : Epoch [42/50], Loss: 0.0055, Accuracy: 0.9415, Precision: 0.9308, Recall: 0.9541, Specificity: 0.9290, F1-Score: 0.9423 
12:31:43 : Epoch [43/50], Loss: 0.0029, Accuracy: 0.9405, Precision: 0.9237, Recall: 0.9603, Specificity: 0.9207, F1-Score: 0.9417 
12:31:55 : Epoch [44/50], Loss: 0.0020, Accuracy: 0.9405, Precision: 0.9237, Recall: 0.9603, Specificity: 0.9207, F1-Score: 0.9417 
12:32:07 : Epoch [45/50], Loss: 0.0079, Accuracy: 0.9426, Precision: 0.9327, Recall: 0.9541, Specificity: 0.9311, F1-Score: 0.9432 
12:32:19 : Epoch [46/50], Loss: 0.0022, Accuracy: 0.9405, Precision: 0.9254, Recall: 0.9582, Specificity: 0.9228, F1-Score: 0.9415 
12:32:31 : Epoch [47/50], Loss: 0.0066, Accuracy: 0.9436, Precision: 0.9346, Recall: 0.9541, Specificity: 0.9332, F1-Score: 0.9442 
12:32:42 : Epoch [48/50], Loss: 0.0064, Accuracy: 0.9436, Precision: 0.9346, Recall: 0.9541, Specificity: 0.9332, F1-Score: 0.9442 
12:32:54 : Epoch [49/50], Loss: 0.0017, Accuracy: 0.9405, Precision: 0.9254, Recall: 0.9582, Specificity: 0.9228, F1-Score: 0.9415 
12:33:05 : Epoch [50/50], Loss: 0.0053, Accuracy: 0.9426, Precision: 0.9257, Recall: 0.9624, Specificity: 0.9228, F1-Score: 0.9437 
12:35:05 : Test Loss: 0.7302, Test Accuracy: 0.9363, Test Precision: 0.3233, Test Recall: 0.9901, Test Specificity: 0.9346, Test F1-Score: 0.4875 
12:35:05 : Total Time taken: 745.5683947000016 Seconds 
